Hash,File,Operator,Start,End,StartLine,EndLine,Original,Replacement,Status,Time(ms)
mab929454,/home/farin/SolMutator/contracts/bytes32vsStringExample.sol,DLR,236,260,12,12,string memory stringText,string storage stringText,stillborn,431
m8d03b422,/home/farin/SolMutator/contracts/bytes32vsStringExample.sol,ECS,165,181,8,8,"bytes32(""....."")","bytes1(""....."")",stillborn,412
m0d1686a0,/home/farin/SolMutator/contracts/bytes32vsStringExample.sol,FVR,100,133,7,7,"function setBytes32Text() public ","function setBytes32Text() external ",live,1176
m270c0248,/home/farin/SolMutator/contracts/bytes32vsStringExample.sol,FVR,100,133,7,7,"function setBytes32Text() public ","function setBytes32Text() internal ",live,6211
m5ac91382,/home/farin/SolMutator/contracts/bytes32vsStringExample.sol,FVR,100,133,7,7,"function setBytes32Text() public ","function setBytes32Text() private ",live,1166
m2f2a87bc,/home/farin/SolMutator/contracts/bytes32vsStringExample.sol,FVR,194,226,11,11,"function setStringText() public ","function setStringText() external ",live,1148
m60f6d100,/home/farin/SolMutator/contracts/bytes32vsStringExample.sol,FVR,194,226,11,11,"function setStringText() public ","function setStringText() internal ",live,1194
m276189bb,/home/farin/SolMutator/contracts/bytes32vsStringExample.sol,FVR,194,226,11,11,"function setStringText() public ","function setStringText() private ",live,1153
mc1a9e649,/home/farin/SolMutator/contracts/bytes32vsStringExample.sol,SLR,173,180,8,8,""".....""","""""",live,1157
mfc4bbef0,/home/farin/SolMutator/contracts/bytes32vsStringExample.sol,SLR,263,270,12,12,""".....""","""""",live,1148
mb72c0b82,/home/farin/SolMutator/contracts/checkedExample.sol,AOR,210,214,8,8," += "," -= ",live,1171
m8226897c,/home/farin/SolMutator/contracts/checkedExample.sol,AOR,210,214,8,8," += ","  = ",live,1588
m5e64d376,/home/farin/SolMutator/contracts/checkedExample.sol,AOR,210,214,8,8," += "," /= ",live,1208
m36dfa0ee,/home/farin/SolMutator/contracts/checkedExample.sol,AOR,210,214,8,8," += "," *= ",live,1240
ma55ec001,/home/farin/SolMutator/contracts/checkedExample.sol,AOR,210,214,8,8," += "," %= ",live,1201
m1324f930,/home/farin/SolMutator/contracts/checkedExample.sol,AOR,398,402,17,17," += "," -= ",live,1210
ma344b543,/home/farin/SolMutator/contracts/checkedExample.sol,AOR,398,402,17,17," += ","  = ",live,1188
mdffcb08c,/home/farin/SolMutator/contracts/checkedExample.sol,AOR,398,402,17,17," += "," /= ",live,1197
m752b1364,/home/farin/SolMutator/contracts/checkedExample.sol,AOR,398,402,17,17," += "," *= ",live,1168
mac80d94e,/home/farin/SolMutator/contracts/checkedExample.sol,AOR,398,402,17,17," += "," %= ",live,1178
m7b4b742e,/home/farin/SolMutator/contracts/checkedExample.sol,FVR,166,194,7,7,"function increment() public ","function increment() external ",live,1176
m2636a668,/home/farin/SolMutator/contracts/checkedExample.sol,FVR,166,194,7,7,"function increment() public ","function increment() internal ",live,1182
m639fb01d,/home/farin/SolMutator/contracts/checkedExample.sol,FVR,166,194,7,7,"function increment() public ","function increment() private ",live,1137
